nr,rodzaj,kalorie,
555,bazant pieczony,215
556,bazant surowa piers,130
557,ges samo mieso,316
558,ges tuszka,345
559,ges tuszka pieczona,501
560,gluszec,123
561,gluszec pieczony,172
562,bazant pieczony,215
563,bazant surowe mieso ze skora,184
564,ges mieso,316
565,ges tuszka,345
566,golab,172
567,indyk piers bez skory duszona,122
568,indyk piers bez skory surowa,88
569,indyk piers ze skora smazona,199
570,indyk tuszka,132
571,indyk udko ze skora pieczone na grilu,166
572,indyk udko ze skora surowe,133
573,indyk wedzony,133
574,kabanosy z kurczaka,250
575,kaczka piers surowa,125
576,kaczka tuszka,313
577,kielbasa deliketasowa,111
578,kielbasa jalowcowa,239
579,kielbasa kanapkowa,183
580,kielbasa mazurska,133
581,kielbasa martadela,212
582,kielbasa parowki z indyka,233
583,kielbasa parowki z kurczaka,258
584,kielbasa podlaska,236
585,kielbasa szynkowa z indyka,89
586,kura,200
587,kura tuszka smazona,431
588,kurczak porcja rosolowa,180
589,kurczak skrzydelko ze skora gotowane,251
590,kurczak tuszka,160
591,kurczak tuszka smazona,250
592,kurczak udko bez skory duszone,211
593,kurczak udko ze skora surowe,161
594,kurczak wedzony,165
595,kuropatwa surowa,108
596,kuropatwa pieczona,213
597,pasztet podlaski z kurczaka,230
598,pasztet z kurczaka pieczony,213
599,perliczka,177
600,poledwica z indyka,106
601,poledwica z piersi kurczaka,97
602,strusie mieso mielone surowe,135
603,szynka z indyka,85
604,szynka z piersi kurczaka,97
605,watrobka drobiowa,137
606,zoladki drobiowe,120
