nr,rodzaj,kalorie,
607,bic mac,273
608,cheeseburger,277
609,chicken mcnuggets,287
610,chipsy ziemniaczane bekonowe,566
611,chipsy ziemniaczane o smaku cebuli,522
612,chipsy ziemniaczane fromage,509
613,chipsy ziemniaczane paprykowe,548
614,chipsy ziemniaczane solone,556
615,chrupki kukurydziane,361
616,chrupki kukurydziane o smaku serowo-ketchupowym,511
617,frytki mrozone,177
618,hamburger,267
619,hot wings skrzydelka w super pikantnej panierce,363
620,kurczak hot&spicy w pikantnej panierce,368
621,kurczak kentucky w lagodnej panierce,246
622,pizza pepperoni mrozona,233
623,pizza z pieczarkami i cebula mrozona,300
624,pizza z szynka mrozona,255
625,popcorn,523
