nr,rodzaj,kalorie,
739,actimel,71
740,jajo kurze bialko,45
741,jajo kurze bialko gotowane,55
742,jajo kurze cale,138
743,jajo kurze zoltko,313
744,jajo kurze zoltko gotowane,155
745,jogurt Activia z suszonymmi sliwkami,95
746,jogurt balkaniski,112
747,jogurt babnanowy,72
748,jogurt do picia Danonki,87
749,jogurt gruszkowy Danone,87
750,jogurt naturalny 0% tluszczu,53
751,jogurt natruralny 2% tluszczu,62
752,kefir 0% tluszczu,26
753,kefir 2% tluszczu,55
754,maslanka 0.5%,36
755,maslanka 1.5%,45
756,mleko kobyle,43
757,mleko kozie,70
758,mleko krowie UHT 0.5% tluszczu,40
759,mleko krowie UHT 1.5% tluszczu,45
760,mleko krowie 3.2%,63
761,mleko owcze,109
762,mleko sojowe,53
763,ser beie poltlusty,232
764,ser bryndza,284
765,ser camembert pelnotlusty,299
766,ser cheddar pelnotlusty,400
767,ser edamski tlusty,316
768,ser edamski topiony,299
769,ser edamski pelnotlusty,384
770,ser feta,216
771,ser emanteler tlusty,316
772,ser emanteler pelnotlusty,384
773,ser mascarpone,455
774,ser mozzarella,455
775,ser oscypek,593
776,ser plesniowy,352
777,ser parmezan,453
778,ser radamer,435
779,ser ricotta,126
780,ser tartare figura,197
781,ser tartare delikatny,202
782,ser wiejski,129
783,serek homogenizowany,143
784,serek kremowy turek,216
785,serek swiezy turek,157
786,smietana 9% tluszczu,111
787,smietana 12% tluszczu,136
788,smietana 18 tluszczu,185
789,smietana 20% tluszczu,202
790,smietana 24% tluszczu,240
791,smietana 30% tluszczu,292
792,zabielacz do kawy,105
