nr,rodzaj,kalorie,
134,anyz,322
135,dynia pestki,566
136,dynia pestki opiekne,523
137,kokos,342
138,koper nasiona,303
139,len nasiona,540
140,mak niebieski,487
141,migdaly,577
142,migdaly kaliforniskie,580
143,migdaly opiekne na sucho,616
144,migdaly opiekne w oleju,620
145,mleczko kokosowe,21
146,orzechy arachidowe,565
147,orzechy arachidowe opiekne na sucho,580
148,orzechy arachidowe opiekne w oleju,570
149,orzechy barazylijskie,678
150,orzechy cashews prozone i salone,598
151,orzechy kokosowe wiorki,605
152,orzechy kokosowe miazsz,655
153,orzechy laskowe,644
154,orzechy laskowe opiekne na sucho,660
155,orzechy narkowca,570
156,orzechy nerkowca opiekne na sucho,577
157,orzechy nerkowca opiekne w oleju,580
158,orzechy pekan,690
159,orzechy pinii,675
160,orzechy pistacjowe,590
161,orzechy pistacjowe opiekne na sucho,596
162,orzechy pistacjowe w lupinach,622
163,orzechy w czekoladzie,640
164,sezam nasiona,606
165,slonecznik nasiona,570
166,slonecznik opiekne w oleju,590
167,slonecznik opiekne na sucho,670
168,slonecznik z miodem,555
169,wiorki kokosowe,705
