nr,rodzaj,kalorie,
170,agrest,40
171,ananas,55
172,ananas plastry w syropie,87
173,ananas suszony,334
174,arbuz,35
175,awokado,164
176,babaco,20
177,banan,97
178,banan skrobiowy,111
179,banan suszony,345
180,borowki,48
181,borowki amerykanskie,59
182,borowki konfitura do miesa,192
183,brzowkiwinia,45
184,brzowkiwinia mus,78
185,brzowkiwinia suszona,255
186,brzowkiwinia w syropie,77
187,brzowkiwinia w syropie odsaczana,88
188,canistel,155
189,cytron kandyzowana skora,91
190,cytryna,35
191,cytryna swieza skora,73
192,czarne jagody,46
193,czarne jagody gotowane,93
194,czarne jagody mrozone,44
195,czeresnie,62
196,czeresnie suszone,275
197,daktyle,92
198,daktyle suszone,279
199,durian,30
200,dynia gotowana,24
201,dynia,26
202,dzem agrestowo-truskawkowy niskoslodzony,166
203,dzem ananasowy bez cukru,601
204,dzem ananasowy niskoslodzony,154
205,dzem brzoskiwiniowy niskoslodzony,159
206,dzem jagodowy niskoslodzony,154
207,dzem jagodowy bez cukru,148
208,dzem morelowy niskoslodzony,155
209,dzem pomarnczowym niskoslodzony,155
210,dzem sliwkowy niskoslodzony,155
211,dzem sliwkowy wysokoslodzony,155
212,dzem truskawkowy,167
213,dzem truskawkowy wysokoslodzony,255
214,dzem wisniowy niskoslodzony,156
215,dzem wisniowy wysokoslodzony,259
216,dzem z czarnej porzeczki niskoslodzony,155
217,dzem z czarnej porzeczki wysokoslodzony,255
218,dzem z kiwi niskoslodzony,156
219,dzem z moreli slodzony fruktoza,122
220,dzem z pigwy,163
221,dzem z truskawkowy slodzony fruktoza,119
222,figi kaktusowe,44
223,figi suszone,292
224,figi suszone duszone,133
225,figi swieze,77
226,granat,70
227,grejfrut,34
228,grejfrut czerwony,33
229,grejfrut w puszcze slodzony,73
230,gruszka,55
231,gruszka gotowana,55
232,gruszka suszona,266
233,gruszka suszona duszona bez cukru,122
234,gruszka suszona duszona z cukrem,140
235,gujawa,36
236,guanabana,66
237,jabko,44
238,jabko gotowana,44
239,jabko gwiezdziste,69
240,jabko mus,122
241,jabko pieczone,105
242,jabko suszone,244
243,jabko pieczone z cukrem,110
244,jabko suszone gotowane,63
245,jezyny,62
246,kalamansi,30
247,karambola,34
248,kiwi,55
249,klementynki,39
250,konfitura truskawkowa,303
251,konfitura wisniowa,311
252,kumkwat,13
253,liczi,73
254,limonka,28
255,longan,56
256,malinojezyny,35
257,maliny,30
258,maliny mrozone,30
259,maliny gotowane,144
260,mandarynka,43
261,mandarynka z zalewie,40
262,mango,66
263,mangostan,78
264,marakuja,35
265,marmolada,271
266,marmolada sliwkowa,244
267,melon,33
268,melon gorzki,8
269,melon kantalupa,23
270,melon miodowy,33
271,mieszanka owoscow mieszanych,44
272,morele,45
273,morele gotowane,45
274,morele suszone,290
275,morele suszone bez cukru,130
276,morele w pyszcze slodzone,90
277,morwa czarna,31
278,nektarynka,45
279,owoc chlebowca,101
280,papaja,45
281,patison gotowany,11
282,pepino,19
283,persymona czarna,66
284,persymona suszona,276
285,pigwa,55
286,pigwica,58
287,pomarancze,45
288,pomarancze skora,106
289,pomelo,48
290,pompela,43
291,porzeczki biale,35
292,porzeczki biale mrozone,32
293,porzeczki czarne,36
294,porzeczki czarne mrozone,40
295,porzeczki czerwone,33
296,porzeczki czerwone mrozone,35
297,powidla sliwkowe,217
298,powidla z wegierskie,225
299,pozimoki,35
300,pozimoki mrozone slodzone,91
301,rambutan,71
302,rodzynynki Ekonatural,272
303,rodzynynki sultanskie,277
304,rodzynynki greckie,272
305,sliwki,46
306,sliwki bez pestek mrozone,52
307,sliwki daktylowe,78
308,sliwki gotowane,45
309,sliwki powidla,220
310,sliwki suszone,12
311,sliwki suszone z pesteka,270
312,sliwki suszone duszone bez cukru,122
313,sliwki w czekoladzie,613
314,sliwki w puszcze,85
315,truskawki,30
316,truskawki mrozone,29
317,tykawa,18
318,winogrona,72
319,winogrona w slodki sosie,80
320,wisnie,49
321,wisnie gotowane,43
322,wisnie suszone,273
323,zurawina,50
324,zurawina mus slodzony w puszcze,150
