nr,rodzaj,kalorie,
483,bazylia ssuszona,255
484,bazylia swieza,25
485,chili w proszku,312
486,carry w proszku,330
487,cynamon w proszku,266
488,fix do potraw knorr,277
489,galka muszkatalowa,536
490,gorycz zolta,473
491,gozdziki,330
492,imbir korzen,73
493,imbir proszek,361
494,kapary,113
495,kapary w puszce,24
496,kapary w zalewie octowej,23
497,ketchup,99
498,kminek nasiona,380
499,kminek proszek,337
500,kolendra,362
501,leczo mrozone,20
502,liscie laurowe,315
503,liscie mniszka lekarskiego,43
504,maggi,15
505,majeranek suszony,273
506,majonez,716
507,majonez dekoracyjny winiary,739
508,majonez light,334
509,mieta suszona,280
510,oregano mielone,305
511,mieta swieza,45
512,musztarda,166
513,ocet winny,16
514,oregano mielone,305
515,papryka ostra,316
516,pieprz bialy,300
517,pieprz czarny,295
518,pieprz czerwony,320
519,sos agrestowy,54
520,sos barbecue,161
521,sos borowkowy,80
522,sos chrzanowy,96
523,sos cumberland,50
524,sos cytrynowy,40
525,sos czosnkowy,102
526,sos fasolowy,49
527,sos grzybowy z suszonych grzybow,56
528,sos holenderski,409
529,sos jablkowy,52
530,sos jarzynowy,50
531,sos jogurtowy z zielenia,55
532,sos koperkowy,43
533,sos musztardowy,51
534,sos mysliwski,125
535,sos pieczarkowy,65
536,sos pieczeniowy,80
537,sos sardynkowy,55
538,sos szczawiowy,99
539,sos szczypiorkowo-chrzanowy,161
540,sos sliwkowy,109
541,sos smietanowo-musztardowy,211
542,sos tatraski,310
543,sos waniliowy,149
544,sos winegret,570
545,sos z maku,256
546,sos z suszonych owocow,80
547,sos ziemniaczny,54
548,sos musztardowy,214
549,sol biala,0
550,szfran,313
551,szlwia mielona,310
552,tymianek suszony,273
553,tymianek swiezy,99
554,wanilia ekstrat,295
