nr,rodzaj,kalorie,
793,amur,65
794,dorsz duszony,97
795,dorsz gotowany,82
796,dorsz piczony,103
797,dorsz swiezy,77
798,dorsz smozony panierowany,172
799,fladra pieczona,112
800,jesiotr swiezy,102
801,jesiotr wedzony,177
802,kalmary,85
803,kalmary suszone,334
804,kalmary smazony,133
805,kalmary swiezy,111
806,karp duszony,144
807,karp gotowany,144
808,karp pieczony,148
809,karp swiezy,111
810,kawior,267
811,kraby gotowane,112
812,karby surowe,85
813,kraby w puszce,104
814,kraby gotowane,100
815,krewetki gotowane,100
816,krewetki shrimps,120
817,krewetki swieze,110
818,langusta,120
819,leszcz duszony,55
820,leszcz smozony,64
821,leszcz swiezy,55
822,lin smazony,53
823,kin swiezy,45
824,losoc gotowany,263
825,losoc pieczony,254
826,losoc swiezy,206
827,losoc w puszce,204
828,makrela swieza,182
829,makrela pieczona,166
830,okon pieczony,111
831,okon smazony,155
832,okon swiezy,87
834,ostrygi swieze,82
835,ostrygi gotowane,165
836,osmiornica gotowana,161
837,osmiornica swieza,83
838,paluszki rybne mrozone,180
839,paluszki rybne swieze,200
840,plaszczka,100
841,ploc smazona,35
842,ploc swieza,36
843,rak gotowany,83
844,rak swiezy,78
845,rak w skorupie,42
846,rekin mieso,101
847,sandacz pieczony,115
848,sandacz smazony,139
849,sandacz swiezy,85
850,sum pieczony,100
851,sum smazony,112
852,sum swiezy,104
853,szczupak gotowany,18
854,szczupak pieczony,100
855,szczupak smazony,153
856,szczupak swiezy,79
857,szprot w oleju,356
858,szprot w sosie pomidorow,176
859,szprot wedzony,224
860,sledz marynowany,195
861,sledz pieczony,212
862,sledz smoazony,250
863,sledz solony,220
864,sledz swiezy,165
865,sledz w oleju,301
866,sledz w sosie pomidorow,160
867,tunczyk pieczony,187
868,tunczyk swiezy,145
869,tunczyk w oleju,191
870,wegorz pieczony,360
871,wegorz smazony,387
872,wegorz swiezy,282
873,witlinek,80
