nr,rodzaj,kalorie,
874,babka drozdzowa z bakliami,309
875,babka maemuskowa,320
876,babka piaskowa,370
877,babka ziemniaczna,130
878,baton 3bit,515
879,baton bounty milk,448
880,baton knoopers,528
881,baton lion,491
882,baton mars,451
883,baton milky way,448
884,baton snikers,497
885,baton twix,483
886,baton fitness,382
887,baton nequik,418
889,bezy,420
890,biszkopty okregle,398
891,budyn czkolada,368
892,bita smietana w areazolu,225
893,chalwa,473
894,ciastka karpatka,460
895,ciastka jezyki,457
896,ciastka kokosanki,470
897,ciastka markizy,488
898,ciastka napolenaki,356
899,ciato wiedenski,336
900,cukier bialy,402
901,cukier bradzowy,376
902,cukierki mleczne,433
903,cukierki owocowe,422
904,cukierki mietowe,388
905,cukierki landrynki,381
906,czekolada biala,588
907,czekolada gorzka,577
908,czekolada mleczna,550
909,czekolada kawowa,529
910,czekolada kremowa,563
911,monte czekoladowy,195
912,monte waniliowy,187
913,drazetki tic tac,390
914,dropsy mleczne,421
915,dropsy owocowe,392
916,drozdzowka,299
917,faforki,579
918,fruktoza,388
919,galaretka wisniowa,55
920,herbatniki,440
921,karmel,404
922,lody bakaliowe,136
923,lody czkoladowe,133
924,lody orzechowe,144
925,lody owocowe,122
926,lody smietankowe,171
927,lody waniliowe,264
928,marcepan,433
929,melasa,233
930,miod pszczeli,331
931,miod sztuczny,330
932,paczek,381
933,pierniczki alpejskie,370
934,pierniczki beskidzkie,340
935,rogal kruchy,350
936,rogal maslany,321
937,percelki,390
938,rurka z kremem,155
939,sernik na zimno,200
940,sernik brzoskiwiniowy,233
941,slone paluszki,396
942,sucharki popularne,391
943,suchary delikatesowe,285
944,syrop z agawy,400
945,syrop z truskawki,271
946,wafel grzesiek,546
947,wafel piccolo,500
948,wafel prince polo,534
949,wafel peincessa,562
950,wafle ryzowe,387
951,wafle familijne,533
