nr,rodzaj,kalorie,
968,baklazan,22
969,baklazan gotowany,24
970,bocwina gotowana,50
971,bocwina burak lisciowy,16
972,bob gotowany,87
973,brokuly,25
974,brokuly gotowane,31
975,brukiew,22
976,brukiew gotowana,17
977,bruksela,33
978,burak,41
979,burak gotowany,45
980,cebula,31
981,cebula  gotowana,38
982,cebila szalotka,34
983,chrzan,660
984,cukinia,13
985,cukinia gotowana,18
986,czosnek,144
987,endywia,19
988,fasola biala gotowana,144
989,fasola biala konserwoa,88
990,fasola biala jas,343
991,groch gotowany,155
992,groszek zielony,76
993,hibidkus,36
994,jarmuz,30
995,kabaczek,36
996,kabaczek pieczony,40
997,kalafior,20
998,kalafior gotowany,22
999,kalarepa,31
1000,kalarepa gotowana,36
1001,kapusta biala,27
1002,kapusta biala mloda,23
1003,kapusta biala gotowana,29
1004,kapusta chniska,33
1005,kapusta czerwona,26
1006,kapusta kwaszona,13
1007,kapusta pekinska,13
1008,kapusta wloska,39
1009,karczochy,48
1010,karczochy gotowane,52
1011,kasztan gotowany,131
1012,kasztan niebrany,208
1013,kasztan obrany,197
1014,kasztany wodne z knoserwy,103
1015,kielki bambusa,22
1016,kielki fasoli mung,30
1017,kielki lucerny,33
1018,kielki rzezuchy,13
1019,kielki soczewicy,122
1020,kielki soi,144
1021,koper ogrogowy,250
1022,koper suszony,360
1023,koper wloski,10
1024,koperk zielony,20
1025,korniszony,15
1026,korzen paproci jadalnej,100
1027,kukurydza kolba,112
1028,kukurydza  kolba gtowana,131
1029,kukurydza pradzona,398
1030,kukurydza konserwowa,103
1031,maniok,197
1032,marchew,28
1033,marchew gotowana,33
1034,marchew konserwowa,22
1035,marchew puree,72
1036,ogorek konserwowy,12
1037,ogorek kwaszony,12
1038,ogorek zielony,14
1039,ogorek kwaszony gotowany,9
1040,oliwki czarne w zalewie,111
1041,oliwki zielone martnowane,123
1042,oliwki zielone w zalewnie,102
1043,papryka,32
1044,paprtka chili konserwowa,18
1045,papryka czerowna,30
1046,papryka czerwona gotowana,33
1046,parryka czerwona konserwowa,31
1047,papryka zielona,19
1049,papryka zielona gotowana,27
1050, pasterniak,57
1051,pasterniak gotowany,63
1052,pedy bambusa,30
1053,pietruszka korzen,40
1054,pietruszka korzen gotowana,44
1055,pietruszka natka,42
1056,pietruszka natka suszona,310
1057,pochrzyn bulwy,135
1058,pomidor,16
1059,pomodor gotowany,22
1060,pomidor miasz,46
1061,pomidor suszony,207
1062,pomodor puree,48
1063,por,25
1064,por gotowany,16
1065,portulaka,19
1066,rabarbar,80
1067,rabarbar gotowany z cukrem,111
1068,roszponka,19
1069,rukiew wodna,15
1070,ziemniaki wczesne gtowane,93
1071,ziemniaki ze skora gtowane z sola,103
1072,rzepa,27
1073,salata,15
1074,salata karbowana,15
1075,salata,15
1076,salata karbowana,15
1077,salata lodowa,15
1078,salata rzymska,18
1079,selre korzeniowy,44
1080,skorzonera,79
1081,soczewiaca czerwoan,331
1082,soczewiaca czerwona gotowana,114
1083,soja,390
1084,szczaw,22
1085,szczaw gotowany,21
1086,szczpiorek,31
1087,szparagi,20
1088,szparagi gotowane,21
1089,szparagi konserwowe,21
1090,szpinak,15
1091,szpinak duszony,50
1092,topinambur,77
1093,ziemniaki puree,120
1094,ziemniaki bez skory,110
1095,ziemniaki gotowane,104
1096,ziemniaki pizne,87
1097,ziemniaki slodkie,88
1098,ziemniaki wczesne,67
1099,ziemniaki wczesne gtowane,93
1100,ziemniaki ze skora gtowane z sola,103
