nr,rodzaj,kalorie,
1,Agrest,41
2,Ananas,54
3,Anansa plastry w syropie,84
4,Anansay dzem niskosłodzony,154
5,Arbuz,36
6,Adwokad,160
7,Babka biszkoptowa,340
8,Bagietki francuwskie,282
9,Bakłażan,21
10,Baleron gotowany,244
11,Bana,95
12,Baranina łopatka,284
13,Baranina udziec,232
14,Barszcz czerwony zabielany,32
15,Barszcz ukariński,54
16,Barsz ukraiński mrożony,28
17,Barszcz z boćwica,29
18,Baton Bounty,448
19,Baton Mars,451
20,Baton Milky Way,488
21,Baton szynkowy z indyka,143
22,Baton Snikers,497
23,Baton Twix,483
24,Befsztyk bit wiejskiego,258
25,Bialko jaja kurzego,49
26,Bigos,119
27,Bitki wieprzowe,195
28,Bitki wieprzowe w jarzynach,198
29,Bitki wołowe,102
30,Bitki wołowe w jarzynach,116
31,Biliny ziemniaczna,257
32,Bocwina,17
33,Boeuf Strogonow,220
34,Bob,66
35,Brokuly,27
36,Brokuly mrozone,24
37,Bruksela,37
38,Bruksela mrożone,36
39,Bruksela z wody,110
40,Byrzol wolowy z poledwicy,252
41,Brozskiwinia,46
42,Brzoskiwnie w syropie,73
43,Brzowkiwinie dzem niskoslodzone,155
44,Buchty drozdzowe,303
45,Budyn z miesa i makoronu,171
46,Bulka tarta,347
47,Bulka grahamki,258
48,Balka krajzerka,296
49,Buki maslane,326
50,Bulki pszenne zwykle,272
