LP,NAZWA PRODUKTU,kcal,BIA£KA,T£USZCZE,WÊGLOWODANY
1,ba¿ant pieczony,215,31.9,9.1,0
2,ba¿ant surowa pierœ,130,24.9,3.3,0
3,ba¿ant surowe miêso ze skór¹,184,22.9,9.1,0
4,ba¿ant surowa udko,133,22.1,4.4,0
5,gêœ samo miêso,316,30.1,23,0
6,gêœ tuszka,345,14.7,30.2,0
7,gêœ tuszka pieczona,501,16,48.1,0
8,g³uszec,123,18.2,6,0
9,g³uszec pieczony,172,30.3,5.5,0
10,go³¹b,172,20.1,9.9,0
11,go³¹b pieczony,233,28.3,13.2,0
12,indyk pierœ bez skóry duszona,122,24.1,1.8,0
13,indyk pierœ bez skóry pieczona na grillu,123,25.3,1.6,0
14,indyk pierœ bez skóry sma¿ona,135,26.1,2.6,0
15,indyk pierœ bez skóry surowa,88,20.2,1.1,0
16,indyk pierœ ze skór¹ duszona,131,24.3,2.6,0
17,indyk pierœ ze skór¹ pieczona na grillu,127,24.4,3.2,0
18,indyk pierœ ze skórk¹ sma¿ona,199,27.8,9.4,0
19,indyk pierœ ze skór¹ surowa,106,15.9,2.5,0
20,idnyk podudzie bez skóry duszone,156,23.1,7.8,0
21,indyk podudzie bez skóry pieczony na grillu,165,24.3,6.4,0
22,indyk podudzie bez skóry sma¿one,189,24,9.9,0
23,idnyk podudzie bez skóry surowe,99,17.1,3.4,0
24,indyk podudzie se skór¹ duszone,166,22.3,7.3,0
25,indyk podudzie ze skór¹ oprószane m¹k¹ sma¿one,174,28.5,6,1.9
26,indyk podudzie ze skór¹ pieczone na grillu,211,23.1,13.2,0
27,indyk podudzie ze skór¹ sma¿one,313,24.1,24.8,0
28,indyk podudzie ze skór¹ surowe,145,16.1,9.2,0
29,indyk skóra pieczona,472,14.1,44.9,0
30,indyk skóra surowa,422,10.2,42.8,0
31,indyk skrzyde³ko bez skóry duszone,192,24.3,9.8,0
32,indyk skrzyde³ko bez skóry pieczona na grillu,182,27.1,7,0
33,indyk skrzyde³ko bez skóry sma¿one,222,26.3,11.9,0
34,indyk skrzyde³ko bez skóry surowe,115,19,4.5,0
35,indyk skrzyde³ko ze skór¹ duszone,182,23.4,9.6,0
36,indyk skrzyde³ko ze skór¹ oprószane m¹k¹ sma¿one,205,27.4,11.3,2.1
37,indyk skrzyde³ko ze skór¹ pieczona na grillu,196,23.3,10.9,0
38,indyk skrzyde³ko ze skór¹ sma¿one,347,23,29.1,0
39,indyk skrzyde³ko ze skór¹ surowe,170,17.2,10.8,0
40,indyk tuszka,132,17.2,6.9,0
41,indyk tuszka pieczona,255,21.5,18.8,0
42,indyk udko bez skóry duszone,166,27.1,6,0
43,indyk udko bez skóry pieczona na grillu,166,27.1,4.5,0
44,indyk udko bez skóry sma¿one,193,29.1,7.2,0
45,indyk udko bez skóry surowe,100,19.2,2.6,0
46,indyk udko ze skór¹ duszone,144,27.2,3.3,0
47,indyk udko ze skór¹ pieczone na grillu,201,27,9.8,0
48,indyk udko ze skór¹ sma¿one,280,27.8,18.9,0
49,indyk udko ze skór¹ oprószane m¹k¹ sma¿one,188,30.5,6.4,2.1
50,indyk udko ze skór¹ surowe,133,19,6.6,0
51,indyk wêdzony,133,28.4,1.6,0
52,kabanosy z kurczaka,250,23.1,17.2,0.2
53,kaczka miêso ze skórk¹,343,21.1,28.8,0
54,kaczka pierœ surowa,125,20.5,4.4,0
55,kaczka samo miêso,194,26.1,11.3,0
56,kaczka tuszka,313,15,27.1,0
57,kaczka tuszka pieczona,399,16.6,35.8,0
58,kaszanka z kurczaka,209,10,11.4,15.9
59,kie³basa delikatesowa z kurczaka,111,20.2,3.6,0.2
60,kie³basa ja³owcowa z kurczaka,239,19.8,17.5,0.2
61,kie³basa kanapkowa z kurczaka,183,12.8,14.1,3.1
62,kie³basa mazurska z indyka,133,15.2,7.9,0.2
63,kie³basa mortadela z indyka,212,11.3,17.6,0.2
64,kie³basa parówki z indyka,233,12.3,19.7,0.6
65,kie³basa parówki z kurczaka,258,10.3,22.1,4.1
66,kie³basa parówki z kurczaka parzone,265,15.3,18.2,9.7
67,kie³basa podlaska z kurczaka,236,21.1,17.2,0.1
68,kie³basa podsuszana z kurczaka,166,22.3,8.6,0
69,kie³basa serdelki drobiowe,245,14.2,20.3,2.2
70,kie³basa szynkowa z indyka,89,18.1,2.2,0.3
71,kie³basa szynkowa z kurczaka,17.1,5.1,0,0
72,kura tuszka,200,19.1,13.1,0
73,kura tuszka duszona,350,20,27.9,0
74,kura tuszka pieczona na grillu,381,21.1,33,0
75,kura tuszka sma¿ona,431,21,37.9,0
76,kurczak pierœ bez skóry duszona,140,27.2,3.2,0
77,kurczak pierœ bez skóry pieczona na grillu,152,29.1,3,0
78,kurczak pierœ bez skóry sma¿ona,174,31.2,4.6,0
